date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-09-12,170.4653,173.1454,170.4653,172.8623,3364167,3364167,2.0479,1.199,172.4743,"Sep 12, 14",0.14359062567189856
2014-09-15,172.617,174.0231,172.2395,173.6267,2307983,2307983,0.764414,0.442,173.2846,"Sep 15, 14",0.1486476026660933
2014-09-16,173.5512,174.1741,172.5131,173.6834,2142740,2142740,0.056625,0.033,173.5388,"Sep 16, 14",0.14902270810247595
2014-09-17,173.4757,175.316,173.136,174.4195,2828283,2828283,0.736106,0.424,174.3388,"Sep 17, 14",0.1538924631592875
2014-09-18,175.3726,177.8263,175.0612,177.3167,3572845,3572845,2.8972,1.661,177.0485,"Sep 18, 14",0.17305922630368986
2014-09-19,177.6659,177.9679,175.4198,175.7218,5442922,5442922,-1.5949,-0.899,176.6095,"Sep 19, 14",0.16250798008699538
2014-09-22,175.5331,176.4296,174.6837,174.863,1834414,1834414,-0.858792,-0.489,175.3693,"Sep 22, 14",0.15682648892711246
2014-09-23,174.1835,176.3447,174.1835,174.6743,1977585,1977585,-0.188744,-0.108,175.3507,"Sep 23, 14",0.15557812215735237
2014-09-24,174.8347,177.5338,174.0862,177.2412,2834243,2834243,2.5669,1.47,176.1271,"Sep 24, 14",0.17255974728346257
2014-09-25,176.9109,177.2318,173.136,173.7305,3080490,3080490,-3.5107,-1.981,174.0909,"Sep 25, 14",0.1493343036237038
2014-09-26,174.3534,175.1556,172.9095,174.7026,1932535,1932535,0.972038,0.56,174.2333,"Sep 26, 14",0.15576534409473555
2014-09-29,172.8057,174.1741,171.9469,173.4852,1747314,1747314,-1.2174,-0.697,173.2252,"Sep 29, 14",0.1477114929791773
2014-09-30,174.0325,174.5799,172.3999,173.2398,2037664,2037664,-0.245368,-0.141,173.3961,"Sep 30, 14",0.14608802077303476
2014-10-01,172.8812,173.5041,170.1821,170.5313,4196286,4196286,-2.7085,-1.563,170.7974,"Oct 1, 14",0.12816962439839233
2014-10-02,170.4369,173.1077,170.4275,172.5886,2789974,2789974,2.0573,1.206,171.7813,"Oct 2, 14",0.14177993152837282
2014-10-03,174.2213,177.9301,174.1835,177.4866,3271408,3271408,4.8979,2.838,176.8179,"Oct 3, 14",0.1741832194896053
2014-10-06,178.4303,178.8361,176.6184,176.9298,1938586,1938586,-0.556796,-0.314,177.5041,"Oct 6, 14",0.1704996444106313
2014-10-07,176.0616,176.0616,173.287,173.4569,2927062,2927062,-3.4729,-1.963,174.4623,"Oct 7, 14",0.1475242710417941
2014-10-08,173.6739,176.4768,171.8997,176.1371,3164203,3164203,2.6802,1.545,174.7706,"Oct 8, 14",0.16525544547905333
2014-10-09,175.3632,175.6935,170.5785,171.0692,4893145,4893145,-5.0678,-2.877,171.7133,"Oct 9, 14",0.13172816433190543
2014-10-10,171.3524,172.6547,169.9273,170.2293,4405622,4405622,-0.839921,-0.491,170.8016,"Oct 10, 14",0.1261717083174834
